title	predicted	actual	>0.2
File:Opencast-software-logo.svg	0.08865877024827187	1.0	False
Tony Almeida	0.061372070919839365	1.0	False
Render layers	0.10026630580105257	1.0	False
Category:Internet properties by year of establishment	0.05762719292136146	1.0	False
Dynamic epistemic logic	0.10488611542022694	1.0	False
Fritz John conditions	0.10701305019170608	1.0	False
File:Sick Sad Life.jpg	0.14928972918496156	1.0	False
Category:Virtual babies	0.10117712587361026	1.0	False
Category:Virtual pets	0.1010670601610324	1.0	False
Generalized Environmental Modeling System for Surfacewaters	0.04092159388691846	1.0	False
Tardiness (scheduling)	0.11048216764015513	1.0	False
Category:Screenshots of Opera software	0.12920508872653735	1.0	False
Gloria Gordon Bolotsky	0.12188345407267152	1.0	False
Advanced process control	0.1291721241207778	1.0	False
Neil J. Gunther	0.13977555733109573	1.0	False
Concurrence (quantum computing)	0.12054874562438184	1.0	False
Samuel N. Alexander	0.14795009780326748	1.0	False
History of Gandalf Technologies	0.04443823186004282	1.0	False
In silico medicine	0.11927940712445455	1.0	False
Arithmetic IF	0.14864316435893096	1.0	False
Sri Lanka Software Testing Board	0.14632637111795624	1.0	False
Aurora (novel)	0.03928943283791374	1.0	False
Theoi Project	0.02947529123953195	1.0	False
Stefan Burr	0.08368323554310043	1.0	False
Computational electromagnetics	0.10475578492756102	1.0	False
Digital on-screen graphic	0.08826589284554211	1.0	False
ACM SIGCOMM Conference	0.13667920859216146	1.0	False
SPIN (software process)	0.09081871115510044	1.0	False
ESRB re-rating of The Elder Scrolls IV: Oblivion	0.0855344828485532	1.0	False
Category:Singularitarianism	0.09502702088064822	1.0	False
Liu Jiren	0.11821973053184012	1.0	False
Spike-triggered covariance	0.10532844654056556	1.0	False
Artificially Expanded Genetic Information System	0.07191478591587432	1.0	False
Txtm8	0.11926499404458485	1.0	False
Category:Diversity in computing	0.08865877024827187	1.0	False
Category:Algorithmic information theory	0.12192388101066787	1.0	False
Smoothed-particle hydrodynamics	0.10774758063715063	1.0	False
Computer experiment	0.1255506837481606	1.0	False
Category:Turing Award laureates	0.13468966570796048	1.0	False
List of video game emulators	0.13036137736664638	1.0	False
ACM SIGMOD Conference	0.1458373696293493	1.0	False
File:Gazebo logo.svg	0.10074937878068313	1.0	False
International Electron Devices Meeting	0.1224497322404405	1.0	False
Combinatorica	0.09961243485478218	1.0	False
Astrochicken	0.05688279975247428	1.0	False
Edge loop	0.13458358196842635	1.0	False
Category:Nortel products	0.06033458876257797	1.0	False
Ben Gurley	0.11157237377652637	1.0	False
Flux-corrected transport	0.1329695926482749	1.0	False
Category:Finite automata	0.11781178407607487	1.0	False
Behavioral modeling in computer-aided design	0.1397653896183927	1.0	False
Types and Programming Languages	0.11802356451067787	1.0	False
History of NCR Corporation	0.08098597796665492	1.0	False
British Computer Society Young Professionals Group	0.14074681978086978	1.0	False
CHI Academy	0.1266767183646014	1.0	False
List of SAP products	0.12957482771186504	1.0	False
List of ACM-W Celebrations	0.11525995969112612	1.0	False
Book:Software testing	0.11731573038810715	1.0	False
K-regular sequence	0.08128606590752807	1.0	False
Stardust@home	0.13424042859928678	1.0	False
Exponential integrate-and-fire	0.14353839874730856	1.0	False
Lori McCreary	0.03947281984177209	1.0	False
SIAM Journal on Computing	0.13958762831214777	1.0	False
PenTile matrix family	0.146433941752769	1.0	False
Comma code	0.1297490489510937	1.0	False
Feminist digital humanities	0.13489192532810643	1.0	False
Epistemic modal logic	0.07123243932526674	1.0	False
File:BCIAward2013.jpg	0.08865877024827187	1.0	False
History of email spam	0.11038279742231692	1.0	False
ITCRA	0.10612216718491733	1.0	False
United Nations Asian and Pacific Training Centre for Information and Communication Technology for Development	0.14714040480811275	1.0	False
Category:Databases by country	0.1194466734581973	1.0	False
Physically based animation	0.08132692240450504	1.0	False
History of Burroughs Corporation	0.06689418899578407	1.0	False
Computation in the limit	0.1147354391270789	1.0	False
Chatterbox Challenge	0.04605047561939113	1.0	False
Scattering-matrix method	0.1223821747591121	1.0	False
CyberPatriot	0.13682429413489314	1.0	False
Map segmentation	0.10807058843302551	1.0	False
Category:NP-complete problems	0.09532087835160956	1.0	False
Thorsten Altenkirch	0.1328537452255927	1.0	False
Category:Internet by country	0.04797522392956098	1.0	False
Landscape design software	0.05533895502392428	1.0	False
Himetric	0.09693779531246562	1.0	False
Symmetrization methods	0.06760945089649917	1.0	False
National Institute of Genetics	0.0953507508837075	1.0	False
Galaxy Zoo	0.102253601176812	1.0	False
English Broadside Ballad Archive	0.1387602594004412	1.0	False
Franz Alt (mathematician)	0.05355168383583967	1.0	False
Computer Model Railroad Interface	0.10130120575002463	1.0	False
Drop shadow	0.12592811400609014	1.0	False
Category:Mobile phones by year of introduction	0.1269465861925713	1.0	False
Category:Roboticists	0.0909183069909426	1.0	False
Rachel Binx	0.12435483082707836	1.0	False
Mycoplasma laboratorium	0.03248146092129716	1.0	False
Signed overpunch	0.09055967405440997	1.0	False
Global Public Health Intelligence Network	0.10829415227696083	1.0	False
Categorical logic	0.06279843279306983	1.0	False
Computer Dreams	0.058841681619863896	1.0	False
Benji Dunn	0.05235849964475345	1.0	False
File:BCIAward2015.jpg	0.08865877024827187	1.0	False
Data diddling	0.0819139424266061	1.0	False
List of ACM-W chapters	0.12954505664905988	1.0	False
International Conference on Very Large Data Bases	0.14731721412383922	1.0	False
Transcriptor	0.08403866620587519	1.0	False
Automatic sequence	0.12467086275470629	1.0	False
Santa Claus machine	0.04619278984711085	1.0	False
Dual norm	0.042161409365771056	1.0	False
International Journal of Creative Computing	0.06468438787248183	1.0	False
Hardware architect	0.09261505757470204	1.0	False
Netflix Prize	0.14232783488923567	1.0	False
ISPIRT	0.1387134471447032	1.0	False
S-procedure	0.03966204615202339	1.0	False
Category:Usage share	0.1384212252617927	1.0	False
CompuMath Citation Index	0.1054614172080852	1.0	False
Combs method	0.09482737571199053	1.0	False
Database System Concepts	0.14792056770041326	1.0	False
Category:SQLite	0.08865877024827187	1.0	False
Dolinar receiver	0.06506253824320216	1.0	False
Category:Interrupts	0.08865877024827187	1.0	False
Microfit	0.08020496149043867	1.0	False
